CEP inicial,Latitude inicial,Longitude inicial,Dia do voo,Hora inicial,Velocidade,CEP final,Latitude final,Longitude final,Pouso,Hora final
82320340,-25.399199941043,-49.3477109219031,1,11:17:00,47.385701464354256,82720410,-25.3531644337776,-49.232263242608,NÃO,11:33:00
82720410,-25.3531644337776,-49.232263242608,1,11:34:00,30,80710040,-25.4214634286453,-49.3044615715174,SIM,11:56:00
80710040,-25.4214634286453,-49.3044615715174,1,11:57:00,30,81480160,-25.5588432106598,-49.3151440012031,SIM,12:29:00
81480160,-25.5588432106598,-49.3151440012031,1,12:30:00,30,81460210,-25.5323146848334,-49.3335573678969,NÃO,12:37:00
81460210,-25.5323146848334,-49.3335573678969,1,12:38:00,48.0639010113876,81935437,-25.5569929167696,-49.2495865835216,NÃO,12:49:00
81935437,-25.5569929167696,-49.2495865835216,1,12:50:00,30,81490400,-25.5959260793478,-49.3357867186009,SIM,13:10:00
81490400,-25.5959260793478,-49.3357867186009,1,13:11:00,33.46058750972023,82100470,-25.3984034918396,-49.2952852364297,SIM,13:53:00
82100470,-25.3984034918396,-49.2952852364297,1,13:54:00,36.99695378108268,81750200,-25.5157135001734,-49.243793374824,NÃO,14:16:00
81750200,-25.5157135001734,-49.243793374824,1,14:17:00,30,81910160,-25.530759191602,-49.2694617027723,SIM,14:24:00
81910160,-25.530759191602,-49.2694617027723,1,14:25:00,38.43863436411668,82810220,-25.4362783812433,-49.2176039050576,NÃO,14:44:00
82810220,-25.4362783812433,-49.2176039050576,1,14:45:00,30,82300430,-25.4211195918941,-49.3463656911546,SIM,15:12:00
82300430,-25.4211195918941,-49.3463656911546,1,15:13:00,37.035908413786544,81150130,-25.5161805037496,-49.3043711084487,NÃO,15:31:00
81150130,-25.5161805037496,-49.3043711084487,1,15:32:00,30,81470255,-25.569630444458,-49.3374921110026,SIM,15:47:00
81470255,-25.569630444458,-49.3374921110026,1,15:48:00,38.1363382501293,82640710,-25.3761139167061,-49.2360147500568,SIM,16:26:00
82640710,-25.3761139167061,-49.2360147500568,1,16:27:00,30,81260350,-25.4831184667002,-49.3499515999385,SIM,17:01:00
81260350,-25.4831184667002,-49.3499515999385,1,17:02:00,49.996911837409016,81570240,-25.4811182084669,-49.2271006252739,NÃO,17:17:00
81570240,-25.4811182084669,-49.2271006252739,1,17:18:00,30,81130330,-25.5102533750322,-49.3062616741933,SIM,17:36:00
81130330,-25.5102533750322,-49.3062616741933,1,17:37:00,47.23930296580144,82930030,-25.4568138879969,-49.2056962318778,NÃO,17:52:00
82930030,-25.4568138879969,-49.2056962318778,1,17:53:00,30,81450195,-25.4997584943394,-49.3532384355102,SIM,18:25:00
81450195,-25.4997584943394,-49.3532384355102,1,18:26:00,49.994219014621095,81580179,-25.4968867857253,-49.2235692856984,NÃO,18:42:00
81580179,-25.4968867857253,-49.2235692856984,1,18:43:00,38.52959402588988,82930390,-25.4608672106041,-49.2047594214569,NÃO,18:50:00
82930390,-25.4608672106041,-49.2047594214569,2,18:51:00,30,81940200,-25.5579957528383,-49.3005594977692,SIM,06:00:00
81940200,-25.5579957528383,-49.3005594977692,2,06:01:00,38.691291047048324,82600070,-25.3907411036522,-49.2112438117616,SIM,06:34:00
82600070,-25.3907411036522,-49.2112438117616,2,06:35:00,30,82200200,-25.3904101875436,-49.2691160623079,NÃO,06:46:00
82200200,-25.3904101875436,-49.2691160623079,2,06:47:00,30,81010160,-25.4761700909245,-49.2756320910121,SIM,07:07:00
81010160,-25.4761700909245,-49.2756320910121,2,07:08:00,30,81490562,-25.6007006282316,-49.3302336035246,SIM,07:39:00
81490562,-25.6007006282316,-49.3302336035246,2,07:40:00,44.033100533634524,82980520,-25.4702554549873,-49.1880231206476,NÃO,08:08:00
82980520,-25.4702554549873,-49.1880231206476,2,08:09:00,30,82310380,-25.4271679351543,-49.3574755107166,SIM,08:45:00
82310380,-25.4271679351543,-49.3574755107166,2,08:46:00,48.98946194850172,80050435,-25.4305533081275,-49.2435107491958,NÃO,09:00:00
80050435,-25.4305533081275,-49.2435107491958,2,09:01:00,30,80510325,-25.4198156998607,-49.2790781765687,NÃO,09:09:00
