CEP inicial,Latitude inicial,Longitude inicial,Dia do voo,Hora inicial,Velocidade,CEP final,Latitude final,Longitude final,Pouso,Hora final
82930370,-25.4627990031427,-49.2053096781914,1,14:00:00,30,81610020,-25.4773976954983,-49.2479963707565,NÃO,14:09:00
81610020,-25.4773976954983,-49.2479963707565,1,14:10:00,30,81935446,-25.5561318634792,-49.2494041568186,SIM,14:28:00
81935446,-25.5561318634792,-49.2494041568186,1,14:29:00,41,81590045,-25.4936220026944,-49.1988741650016,NÃO,14:42:00
81590045,-25.4936220026944,-49.1988741650016,1,14:43:00,30,81265330,-25.4702238422545,-49.3713250851996,SIM,15:18:00
81265330,-25.4702238422545,-49.3713250851996,1,15:19:00,44,80710040,-25.4214634286453,-49.3044615715174,NÃO,15:30:00
80710040,-25.4214634286453,-49.3044615715174,1,15:31:00,30,81450340,-25.4902346316319,-49.3486330527676,NÃO,15:49:00
81450340,-25.4902346316319,-49.3486330527676,1,15:50:00,40,80810070,-25.4171734750828,-49.2912702953003,SIM,16:05:00
80810070,-25.4171734750828,-49.2912702953003,1,16:06:00,47,80035230,-25.4008064386385,-49.2512257402299,NÃO,16:12:00
80035230,-25.4008064386385,-49.2512257402299,1,16:13:00,30,82300430,-25.4211195918941,-49.3463656911546,NÃO,16:32:00
82300430,-25.4211195918941,-49.3463656911546,1,16:33:00,46,81550315,-25.4881320075695,-49.208315008611,SIM,16:54:00
81550315,-25.4881320075695,-49.208315008611,1,16:55:00,30,81935303,-25.5548054287395,-49.2658406002244,NÃO,17:14:00
81935303,-25.5548054287395,-49.2658406002244,1,17:15:00,35,82630290,-25.371866280235,-49.2091730004846,SIM,17:51:00
82630290,-25.371866280235,-49.2091730004846,1,17:52:00,30,81710300,-25.4995227903921,-49.2608604414495,SIM,18:22:00
81710300,-25.4995227903921,-49.2608604414495,1,18:23:00,30,81490170,-25.5871765229344,-49.3233641230418,NÃO,18:46:00
81490170,-25.5871765229344,-49.3233641230418,1,18:47:00,30,81490280,-25.5975675014877,-49.3235433911466,NÃO,18:50:00
81490280,-25.5975675014877,-49.3235433911466,2,06:00:00,38,82630100,-25.3812692780083,-49.2161803524462,SIM,06:41:00
82630100,-25.3812692780083,-49.2161803524462,2,06:42:00,32,81590578,-25.4926040000053,-49.2000059999854,NÃO,07:06:00
81590578,-25.4926040000053,-49.2000059999854,2,07:07:00,30,82025060,-25.4094383254911,-49.3098019002186,SIM,07:35:00
82025060,-25.4094383254911,-49.3098019002186,2,07:36:00,49,80820480,-25.4089459015341,-49.3017935380524,NÃO,07:37:00
80820480,-25.4089459015341,-49.3017935380524,2,07:38:00,31,81870352,-25.5241770000303,-49.2937684998992,NÃO,08:03:00
81870352,-25.5241770000303,-49.2937684998992,2,08:04:00,36,81010160,-25.4761700909245,-49.2756320910121,SIM,08:14:00
81010160,-25.4761700909245,-49.2756320910121,2,08:15:00,48,81590210,-25.4814447782289,-49.198611250503,NÃO,08:24:00
81590210,-25.4814447782289,-49.198611250503,2,08:25:00,30,81480050,-25.5639557671639,-49.3123860165859,SIM,08:55:00
81480050,-25.5639557671639,-49.3123860165859,2,08:56:00,32,80810200,-25.411751607072,-49.288206501747,SIM,09:28:00
80810200,-25.411751607072,-49.288206501747,2,09:29:00,45,80030010,-25.424164,-49.266866,NÃO,09:32:00
80030010,-25.424164,-49.266866,2,09:33:00,30,81170370,-25.514465668778,-49.3258065209142,NÃO,09:56:00
81170370,-25.514465668778,-49.3258065209142,2,09:57:00,47,81570001,-25.4825630317905,-49.2238324147895,SIM,10:11:00
81570001,-25.4825630317905,-49.2238324147895,2,10:12:00,30,80710390,-25.43427248628,-49.3055074800751,NÃO,10:32:00
80710390,-25.43427248628,-49.3055074800751,2,10:33:00,36,81910230,-25.5278877309024,-49.2672872891657,SIM,10:51:00
81910230,-25.5278877309024,-49.2672872891657,2,10:52:00,37,82800310,-25.4363060856137,-49.2266446131255,NÃO,11:10:00
82800310,-25.4363060856137,-49.2266446131255,2,11:11:00,30,80710350,-25.4333576000608,-49.3086768002282,SIM,11:28:00
80710350,-25.4333576000608,-49.3086768002282,2,11:29:00,34,81930367,-25.5617914350131,-49.2710241313602,NÃO,11:55:00
81930367,-25.5617914350131,-49.2710241313602,2,11:56:00,30,82400000,-25.4008242454259,-49.335596235314,SIM,12:34:00
82400000,-25.4008242454259,-49.335596235314,2,12:35:00,45,82510100,-25.409050749392,-49.2385843936,NÃO,12:48:00
82510100,-25.409050749392,-49.2385843936,2,12:49:00,30,82020560,-25.401157660715,-49.3241349981993,SIM,13:06:00
82020560,-25.401157660715,-49.3241349981993,2,13:07:00,30,81170755,-25.5160188418949,-49.3308090343913,NÃO,13:33:00
81170755,-25.5160188418949,-49.3308090343913,2,13:34:00,30,81200390,-25.4331374954389,-49.3440640772759,SIM,13:52:00
81200390,-25.4331374954389,-49.3440640772759,2,13:53:00,30,82310354,-25.428940781271,-49.3504773749079,NÃO,13:55:00
82310354,-25.428940781271,-49.3504773749079,2,13:56:00,45,80810020,-25.4179269867733,-49.2959062863188,NÃO,14:03:00
80810020,-25.4179269867733,-49.2959062863188,2,14:04:00,48,82520095,-25.4146626252933,-49.2400308757049,NÃO,14:11:00
82520095,-25.4146626252933,-49.2400308757049,2,14:12:00,30,82315100,-25.4138947234128,-49.3562615743809,SIM,14:36:00
82315100,-25.4138947234128,-49.3562615743809,2,14:37:00,32,81470370,-25.5778784839382,-49.3341110960705,SIM,15:11:00
81470370,-25.5778784839382,-49.3341110960705,2,15:12:00,41,81510570,-25.4741691564102,-49.242520655745,NÃO,15:34:00
81510570,-25.4741691564102,-49.242520655745,2,15:35:00,34,82520590,-25.4131761050287,-49.2261971905551,SIM,15:47:00
82520590,-25.4131761050287,-49.2261971905551,2,15:48:00,30,81750280,-25.5127671393955,-49.2444025714353,NÃO,16:11:00
81750280,-25.5127671393955,-49.2444025714353,2,16:12:00,30,82640640,-25.3715918782937,-49.2403618225252,SIM,16:43:00
82640640,-25.3715918782937,-49.2403618225252,2,16:44:00,30,81450350,-25.4902280000456,-49.348047000162,SIM,17:18:00
81450350,-25.4902280000456,-49.348047000162,2,17:19:00,50,81110330,-25.5042910428287,-49.2847716627966,NÃO,17:27:00
81110330,-25.5042910428287,-49.2847716627966,2,17:28:00,30,82100440,-25.3942804783177,-49.2932765649519,SIM,17:53:00
82100440,-25.3942804783177,-49.2932765649519,2,17:54:00,33,80410000,-25.4213661621413,-49.2875646174355,NÃO,17:59:00
80410000,-25.4213661621413,-49.2875646174355,2,18:00:00,36,81850650,-25.5414905884625,-49.2439315883873,NÃO,18:24:00
81850650,-25.5414905884625,-49.2439315883873,2,18:25:00,30,80220200,-25.4672406908201,-49.2801499774178,SIM,18:43:00
80220200,-25.4672406908201,-49.2801499774178,2,18:44:00,50,81540160,-25.4663186667815,-49.2166009443659,NÃO,18:51:00
81540160,-25.4663186667815,-49.2166009443659,3,06:00:00,30,81720360,-25.5259885359266,-49.2525244997371,NÃO,06:15:00
81720360,-25.5259885359266,-49.2525244997371,3,06:16:00,30,80730270,-25.4395442941516,-49.3020722939492,SIM,06:37:00
80730270,-25.4395442941516,-49.3020722939492,3,06:38:00,30,81480125,-25.5614706374337,-49.3118706658535,NÃO,07:05:00
81480125,-25.5614706374337,-49.3118706658535,3,07:06:00,38,82200200,-25.3904101875436,-49.2691160623079,SIM,07:37:00
82200200,-25.3904101875436,-49.2691160623079,3,07:38:00,34,82990000,-25.4637044472508,-49.198121637253,NÃO,07:57:00
82990000,-25.4637044472508,-49.198121637253,3,07:58:00,30,82400380,-25.3939611290747,-49.3559660424619,SIM,08:34:00
82400380,-25.3939611290747,-49.3559660424619,3,08:35:00,30,80240660,-25.4542530556284,-49.2916382221557,NÃO,08:53:00
80240660,-25.4542530556284,-49.2916382221557,3,08:54:00,30,81470290,-25.5737515550149,-49.3412589936849,SIM,09:23:00
81470290,-25.5737515550149,-49.3412589936849,3,09:24:00,44,82130470,-25.3763584193723,-49.2754817420857,SIM,09:55:00
82130470,-25.3763584193723,-49.2754817420857,3,09:56:00,30,81670260,-25.5039440665513,-49.2550349720709,NÃO,10:25:00
81670260,-25.5039440665513,-49.2550349720709,3,10:26:00,30,81935113,-25.5499175384761,-49.253610923113,SIM,10:36:00
